"ab_idx","all_names"
"0","DH1041"
"1","DH1042"
"2","DH1043"
"3","DH1044"
"4","DH1045"
"5","DH1046"
"6","DH1047"
"7","DH1063"
"8","DH1064"
"9","DH1072"
"10","DH1073"
"11","DH1075"
"12","DH1080"
"13","DH1082"
"14","DH1085"
"15","DH1088"
"16","DH1091"
"17","DH1092"
"18","DH1095"
"19","DH1096"
"20","DH1098"
"21","DH1101"
"22","DH1102"
"23","DH1107"
"24","DH1109"
"25","DH1111"
"26","DH1112"
"27","DH1113"
"28","DH1115"
"29","DH1117"
"30","DH1120"
"31","DH1125"
"32","DH1126"
"33","DH1127"
"34","DH1128"
"35","DH1129"
"36","DH1130"
"37","DH1139"
"38","DH1140"
"39","DH1143"
"40","DH1150"
"41","DH1151"
"42","DH1152"
"43","DH1154"
"44","DH1155"
"45","DH1156"
"46","DH1159-2;DH1159.2"
"47","DH1160"
"48","DH1161-2;DH1161.2"
"49","DH1166"
"50","DH1169"
"51","DH1170"
"52","DH1172"
"53","DH1173"
"54","DH1179"
"55","DH1180"
"56","DH1183"
"57","DH1184"
"58","DH1185"
"59","DH1186"
"60","DH1191"
"61","DH1193"
"62","DH1196"
"63","DH1197"
"64","DH1201"
"65","DH1203"
"66","DH1208"
"67","DH1209"
"68","DH1210"
"69","DH1213"
"70","DH1214"
"71","H025966+K023804"
"72","H026027+L024013"
"73","H026058+L024028"
"74","H026059+K023856"
"75","H026076+K023864"
"76","H026078+K023865"
"77","H026085+L024042"
"78","H026089+K023870"
"79","H026089+L024044"
"80","H026331+L024145"
"81","H026335+L024147"
"82","H026336+L024148"
"83","H026337+L024149"
"84","H026346+K024021"
"85","H026348+L024151"
"86","H026349+K024023"
"87","H026350+K024024"
"88","H026364+K024033"
"89","H026367+K024035"
"90","H026368+K024036"
"91","H026371+L024159"
"92","H711851+K711528"
"93","H711899+L711281"
"94","H712007+K711670"
"95","H712070+L711478"
"96","H712075+L711484"
"97","H712076+L711485"
"98","H712103+L711508"
"99","H712140+L711541"
"100","H712148+K711777"
"101","H712149+L711549"
"102","H712154+K711779"
"103","H712167+K711783"
"104","H712183+L711576"
"105","H712228+L711607"
"106","H712229+K711818"
"107","H712320+K711861"
"108","H712375+L711691"
"109","H712442+K711940"
"110","H712463+K711953"
"111","H712467+L711731"
"112","H712475+K711960"
"113","H712483+K711968"
"114","H712488+L711741"
"115","H712492+L711744"
"116","H712494+K711975"
"117","H712556+K712020"
"118","H712561+L711795"
"119","H712562+L711796"
"120","H712564+K712022"
"121","H712568+L711801"
"122","H712571+K712024"
"123","H712572+L711804"
"124","H712574+K712026"
"125","H712574+L711805"
"126","Adintrevimab;ADG20;ADG-2"
"127","Bamlanivimab;LY-CoV555"
"128","CB6;Etesevimab;LY-CoV016"
"129","COV2-2130;Cilgavimab"
"130","COV2-2196;Tixagevimab"
"131","HB27;Upanovimab"
"132","LY-CoV1404;Bebtelovimab"
"133","Lomtegovimab"
"134","P4A1;Enuzovimab"
"135","Plutavimab"
"136","REGN10933;Casirivimab"
"137","REGN10987;Imdevimab"
"138","Romlusevimab;BRII-198"
"139","Sotrovimab;VIR-7831"
"140","VHH-72;VHH72;Rimteravimab"
"141","Vir-7832;Beludavimab"
"142","COVD21-C8HC/COV107-23LC"
"143","MR17-MR17"
"144","MR6-MR6"
"145","MR6-SR31"
"146","SR31-SR31"
"147","0304-2F8"
"148","0304-3H3"
"149","0304-4A10"
"150","0304-4A2"
"151","0317-A1"
"152","0317-A2"
"153","0317-A3"
"154","0317-A7"
"155","0317-A8"
"156","0317-A9"
"157","0317-B1"
"158","0317-C4"
"159","0317-C9"
"160","1.6C7"
"161","10C10"
"162","1A09"
"163","1A10"
"164","1A12"
"165","1B07"
"166","1B10"
"167","1C05"
"168","1C06"
"169","1C07"
"170","1D04"
"171","1D05"
"172","1E02"
