"ab_idx","chain","V gene","source"
"0","H","IGHV3-7","collected"
"0","L","IGLV1-40","collected"
"1000","H","IGHV1-46","collected"
"1000","L","IGKV1-16","collected"
"1001","H","IGHV1-2","collected"
"1001","L","IGKV1-16","collected"
"1002","H","IGHV1-8","collected"
"1002","L","IGKV4-1","collected"
"1003","H","IGHV1-2","collected"
"1003","L","IGKV4-1","collected"
"1004","H","IGHV3-33","collected"
"1004","L","IGKV3-11","collected"
"1005","H","IGHV1-58","collected"
"1005","L","IGKV3D-20","collected"
"1006","H","IGHV3-30","collected"
"1006","L","IGKV1-5","collected"
"1007","H","IGHV3-66","collected"
"1007","L","IGKV3D-20","collected"
"1008","H","IGHV3-66","collected"
"1008","L","IGKV3D-20","collected"
"1009","H","IGHV1-58","collected"
"1009","L","IGKV3D-20","collected"
"100","H","IGHV4-34","collected"
"100","L","IGKV1-6","collected"
"1010","H","IGHV3-9","collected"
"1010","L","IGKV1-39","collected"
"1011","H","IGHV1-58","collected"
"1011","L","IGKV3D-20","collected"
"1012","H","IGHV1-24","collected"
"1012","L","IGKV1-9","collected"
"1013","H","IGHV3-30","collected"
"1013","L","IGKV1-9","collected"
"1014","H","IGHV1-69","collected"
"1014","L","IGKV3-11","collected"
"1015","H","IGHV1-69","collected"
"1015","L","IGKV3-11","collected"
"101","H","IGHV3-30","collected"
"101","L","IGLV3-1","collected"
"1024","H","IGHV3-11","collected"
"1024","L","IGKV1-33","collected"
"1025","H","IGHV3-23","collected"
"1025","L","IGLV7-46","collected"
"1026","H","IGHV3-66","collected"
"1026","L","IGKV1-12","collected"
"1027","H","IGHV3-66","collected"
"1027","L","IGKV1-12","collected"
"1028","H","IGHV1-69","collected"
"1028","L","IGKV1-39","collected"
"1029","H","IGHV4-39","collected"
"1029","L","IGKV1-17","collected"
"102","H","IGHV3-30","collected"
"102","L","IGKV1-33","collected"
"1030","H","IGHV3-48","collected"
"1030","L","IGKV3D-20","collected"
"1031","H","IGHV3-9","collected"
"1031","L","IGKV1-12","collected"
"1032","H","IGHV4-39","collected"
"1032","L","IGKV1-17","collected"
"1033","H","IGHV3-9","collected"
